polygon wkt,period,numSamples,abundanceType,auto_and_mix_dinos,carniv_zoo,ciliates,copepods,crustacean,diatom,dinoflagellate,fish_larvae,gelatinous,holoplankton,lg_copepods,lg_phyto,meroplankton,non_carniv_zoo,pelagic_diatoms,phytoplankton,potentially_toxic/nuisance_diatoms,potentially_toxic/nuisance_dinos,sm_copepods,sm_phyto,tychopelagic_diatoms,taxa used
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-11,7,ind/3m^3,6428.571,18.429,n/a,421.714,423.143,2142.857,6428.571,n/a,n/a,439.571,171.714,8571.429,7.286,428.571,n/a,8571.429,n/a,n/a,142.857,n/a,2142.857,"{""auto_and_mix_dinos"": [""Ceratium fusus"", ""Ceratium macroceros"", ""Ceratium furca""], ""carniv_zoo"": [""Clione limacina"", ""Candacia armata"", ""Hyperiidea (Total)"", ""Chaetognatha eyecount"", ""Thecosomata (North Atlantic)""], ""copepods"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Candacia armata"", ""Oithona spp."", ""Temora longicornis"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Oithona spp."", ""Candacia armata"", ""Euphausiacea Total"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Hyperiidea (Total)"", ""Gammaridea"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Odontella sinensis""], ""dinoflagellate"": [""Ceratium fusus"", ""Ceratium macroceros"", ""Ceratium furca""], ""holoplankton"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Oithona spp."", ""Euphausiacea Total"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Hyperiidea (Total)"", ""Chaetognatha eyecount"", ""Acartia spp. (unidentified)"", ""Calanus I-IV"", ""Candacia armata"", ""Temora longicornis"", ""Clione limacina"", ""Thecosomata (North Atlantic)"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Candacia armata"", ""Calanus helgolandicus""], ""lg_phyto"": [""Ceratium fusus"", ""Ceratium macroceros"", ""Odontella sinensis"", ""Ceratium furca""], ""meroplankton"": [""Echinoderm larvae"", ""Echinoderm post larvae""], ""non_carniv_zoo"": [""Acartia spp. (unidentified)"", ""Echinoderm larvae"", ""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Echinoderm post larvae"", ""Oithona spp."", ""Euphausiacea Total"", ""Temora longicornis"", ""Calanus helgolandicus"", ""Centropages typicus"", ""Gammaridea"", ""Para-Pseudocalanus spp.""], ""phytoplankton"": [""Ceratium fusus"", ""Ceratium macroceros"", ""Odontella sinensis"", ""Ceratium furca""], ""sm_copepods"": [""Acartia spp. (unidentified)"", ""Oithona spp."", ""Centropages typicus"", ""Temora longicornis""], ""tychopelagic_diatoms"": [""Odontella sinensis""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1960-12,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-01,3,ind/3m^3,n/a,2.0,n/a,37.333,42.0,n/a,n/a,n/a,n/a,44.0,20.667,n/a,n/a,42.0,n/a,n/a,n/a,n/a,16.667,n/a,n/a,"{""carniv_zoo"": [""Chaetognatha eyecount""], ""copepods"": [""Oithona spp."", ""Calanus finmarchicus"", ""Metridia lucens"", ""Calanus helgolandicus""], ""crustacean"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Oithona spp."", ""Calanus helgolandicus""], ""holoplankton"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Oithona spp."", ""Calanus helgolandicus"", ""Chaetognatha eyecount""], ""lg_copepods"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Calanus helgolandicus""], ""non_carniv_zoo"": [""Calanus finmarchicus"", ""Metridia lucens"", ""Euphausiacea Total"", ""Oithona spp."", ""Calanus helgolandicus""], ""sm_copepods"": [""Oithona spp.""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-02,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-03,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-04,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-05,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-06,4,ind/3m^3,147500.0,n/a,n/a,552.75,577.75,3750.0,147500.0,0.25,n/a,565.25,177.75,151250.0,12.5,578.0,3750.0,151250.0,n/a,n/a,125.0,n/a,n/a,"{""auto_and_mix_dinos"": [""Ceratium tripos"", ""Ceratium longipes"", ""Ceratium horridum"", ""Ceratium macroceros"", ""Ceratium furca"", ""Ceratium fusus""], ""copepods"": [""Calanus I-IV"", ""Oithona spp."", ""Calanus finmarchicus"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Calanus I-IV"", ""Oithona spp."", ""Calanus finmarchicus"", ""Cirripede larvae (Total)"", ""Calanus helgolandicus"", ""Evadne spp."", ""Para-Pseudocalanus spp.""], ""diatom"": [""Rhizosolenia imbricata""], ""dinoflagellate"": [""Ceratium tripos"", ""Ceratium longipes"", ""Ceratium horridum"", ""Ceratium macroceros"", ""Ceratium furca"", ""Ceratium fusus""], ""fish_larvae"": [""Fish larvae""], ""holoplankton"": [""Calanus I-IV"", ""Oithona spp."", ""Calanus finmarchicus"", ""Calanus helgolandicus"", ""Evadne spp."", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Calanus helgolandicus""], ""lg_phyto"": [""Ceratium tripos"", ""Rhizosolenia imbricata"", ""Ceratium longipes"", ""Ceratium horridum"", ""Ceratium macroceros"", ""Ceratium furca"", ""Ceratium fusus""], ""meroplankton"": [""Cirripede larvae (Total)""], ""non_carniv_zoo"": [""Calanus I-IV"", ""Oithona spp."", ""Calanus finmarchicus"", ""Cirripede larvae (Total)"", ""Fish larvae"", ""Calanus helgolandicus"", ""Evadne spp."", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Rhizosolenia imbricata""], ""phytoplankton"": [""Ceratium tripos"", ""Rhizosolenia imbricata"", ""Ceratium longipes"", ""Ceratium horridum"", ""Ceratium macroceros"", ""Ceratium furca"", ""Ceratium fusus""], ""sm_copepods"": [""Oithona spp.""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-07,2,ind/3m^3,55000.0,103.0,n/a,245.0,272.0,127500.0,55000.0,n/a,n/a,374.0,145.0,182500.0,1.0,272.0,127500.0,182500.0,n/a,n/a,75.0,n/a,n/a,"{""auto_and_mix_dinos"": [""Ceratium tripos"", ""Ceratium horridum"", ""Ceratium furca"", ""Ceratium fusus""], ""carniv_zoo"": [""Chaetognatha eyecount"", ""Thecosomata (North Atlantic)""], ""copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Oithona spp."", ""Metridia lucens"", ""Calanus helgolandicus"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Oithona spp."", ""Euphausiacea Total"", ""Metridia lucens"", ""Calanus helgolandicus"", ""Decapoda larvae (Total)"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Proboscia alata"", ""Pseudo-nitzschia delicatissima complex"", ""Rhizosolenia imbricata""], ""dinoflagellate"": [""Ceratium tripos"", ""Ceratium horridum"", ""Ceratium furca"", ""Ceratium fusus""], ""holoplankton"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Oithona spp."", ""Euphausiacea Total"", ""Metridia lucens"", ""Calanus helgolandicus"", ""Chaetognatha eyecount"", ""Thecosomata (North Atlantic)"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Metridia lucens"", ""Calanus helgolandicus""], ""lg_phyto"": [""Rhizosolenia imbricata"", ""Ceratium tripos"", ""Ceratium horridum"", ""Ceratium furca"", ""Ceratium fusus"", ""Proboscia alata"", ""Pseudo-nitzschia delicatissima complex""], ""meroplankton"": [""Decapoda larvae (Total)""], ""non_carniv_zoo"": [""Calanus I-IV"", ""Calanus finmarchicus"", ""Oithona spp."", ""Euphausiacea Total"", ""Metridia lucens"", ""Calanus helgolandicus"", ""Decapoda larvae (Total)"", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Proboscia alata"", ""Pseudo-nitzschia delicatissima complex"", ""Rhizosolenia imbricata""], ""phytoplankton"": [""Rhizosolenia imbricata"", ""Ceratium tripos"", ""Ceratium horridum"", ""Ceratium furca"", ""Ceratium fusus"", ""Proboscia alata"", ""Pseudo-nitzschia delicatissima complex""], ""sm_copepods"": [""Oithona spp.""]}"
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-08,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-09,0,ind/3m^3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
"POLYGON ((1 60, 3 60, 3 58, 1 58, 1 60))",1961-10,2,ind/3m^3,30000.0,0.5,n/a,106.5,108.0,55000.0,30000.0,n/a,n/a,108.0,6.5,85000.0,n/a,107.5,55000.0,85000.0,n/a,n/a,75.0,n/a,n/a,"{""auto_and_mix_dinos"": [""Ceratium fusus"", ""Ceratium horridum"", ""Ceratium macroceros"", ""Ceratium furca""], ""carniv_zoo"": [""Paraeuchaeta norvegica""], ""copepods"": [""Oithona spp."", ""Calanus finmarchicus"", ""Paraeuchaeta norvegica"", ""Para-Pseudocalanus spp.""], ""crustacean"": [""Oithona spp."", ""Calanus finmarchicus"", ""Euphausiacea Total"", ""Paraeuchaeta norvegica"", ""Para-Pseudocalanus spp.""], ""diatom"": [""Corethron hystrix"", ""Leptocylindrus mediterraneus""], ""dinoflagellate"": [""Ceratium fusus"", ""Ceratium horridum"", ""Ceratium macroceros"", ""Ceratium furca""], ""holoplankton"": [""Oithona spp."", ""Calanus finmarchicus"", ""Euphausiacea Total"", ""Paraeuchaeta norvegica"", ""Para-Pseudocalanus spp.""], ""lg_copepods"": [""Paraeuchaeta norvegica"", ""Calanus finmarchicus""], ""lg_phyto"": [""Corethron hystrix"", ""Ceratium macroceros"", ""Ceratium horridum"", ""Leptocylindrus mediterraneus"", ""Ceratium furca"", ""Ceratium fusus""], ""non_carniv_zoo"": [""Oithona spp."", ""Calanus finmarchicus"", ""Euphausiacea Total"", ""Para-Pseudocalanus spp.""], ""pelagic_diatoms"": [""Corethron hystrix"", ""Leptocylindrus mediterraneus""], ""phytoplankton"": [""Corethron hystrix"", ""Ceratium macroceros"", ""Ceratium horridum"", ""Leptocylindrus mediterraneus"", ""Ceratium furca"", ""Ceratium fusus""], ""sm_copepods"": [""Oithona spp.""]}"
